min,max,comment
0,50000,"今週は小さくても確実な勝利！スタバのラテなら約100杯飲める金額を自分の力で稼いだ。小さな勝ちを笑う者は小さな勝ちに泣く。積み重ねていこう。"
0,50000,"今週の勝ちはランチ代換算で約170回分。コツコツ積み上げる者だけが最後に笑う。次も同じ集中力で臨め。"
0,50000,"Amazonプライムが約3ヶ月分浮く計算の勝利。小さな波を制する者が大きな波も制する。来週も冷静に。"
0,50000,"吉野家の牛丼並盛なら約170杯分の利益。腹を満たす金を自分の力で作った週。それだけで十分誇れる。"
0,50000,"映画館なら約20本分楽しめる金額を手にした。エンタメより本物のスリルで稼いだ金だ。来週も鋭く攻めろ。"
0,50000,"NetflixとSpotifyのサブスクが半年以上まかなえる勝ち。小さくても黒字は黒字。メンタルを崩さず次へ向かえ。"
0,50000,"近場の日帰り温泉なら10回は行ける金額。体を休めながら来週の戦略を練るのも強者のルーティンだ。"
0,50000,"コンビニスイーツなら100個以上買える利益。笑うなかれ、こういう週を落とさない人間が長く勝ち続ける。"
0,50000,"100円ショップなら500品買える週だった。こういう堅実な勝ちの積み重ねが、大勝への土台になる。"
0,50000,"今週の利益でガソリン満タンが約10回入れられる。燃料を補充しながら次の勝負へ向かえ。来週も丁寧に。"
50001,100000,"20代前半の平均週給に迫る金額を一週間で手にした。サラリーマンが5日かけて稼ぐ額を勝負で掴んだ事実を忘れるな。"
50001,100000,"Nintendo Switchが1台買えてまだお釣りがくる勝利。ゲームより現実の勝負の方がよっぽど面白いだろう。"
50001,100000,"国内格安航空券なら往復3回分飛べる金額。旅行気分で浮かれず、来週も地に足をつけて戦え。"
50001,100000,"ユニクロのカシミアセーターなら10枚以上買える週だった。着込んで冬を越す余裕ができた。来週も同じ冷静さで。"
50001,100000,"居酒屋で友人と10回飲み会できる金額の勝ち。全部使い切らず、一部は次の種銭に回す賢さを持て。"
50001,100000,"ジムの月会費なら約8ヶ月分。体と頭を鍛え続ける者が最終的に勝つ。この勢いを維持しろ。"
50001,100000,"回転寿司なら300皿以上食べられる計算の勝利。食欲より勝負欲を満たした週だった。よくやった。"
50001,100000,"エントリーモデルのiPadが視野に入ってきた金額。来週も積み上げたら確実に手が届くぞ。"
50001,100000,"ホテルのランチビュッフェなら約15回行ける勝ち。たまには自分を労いながら次の一手を考える時間も大切だ。"
50001,100000,"月額制のサブスクを全部合わせても2年分以上まかなえる利益。無駄な固定費より、稼ぎで全部解決できる強さをつけろ。"
100001,200000,"20代後半の平均月給の約半分を一週間で稼いだ。本物の手応えを感じているはず。浮かれず次へ向かえ。"
100001,200000,"高級ディナーが10回行ける金額の大勝。たまには最高の食事で勝利を噛み締めろ。それも勝者の特権だ。"
100001,200000,"MacBook Airの頭金として十分な金額になってきた。もう少し積み上げたら欲しいものが全部手に入る。"
100001,200000,"国内旅行（1泊2日のちょっといいホテル）が5回行ける勝利。でも今は動かず来週の準備に集中しろ。"
100001,200000,"グッチ・プラダの入門ラインの財布が買えるレベルの利益。外見より中身（資金）を太らせる方が先だけどな。"
100001,200000,"30代の平均週給を超えてきた金額。これが本物のギャンブラーの世界だ。次も同じ嗅覚で臨め。"
100001,200000,"PS5本体とソフト数本分の余裕ができた週。現実の勝負はゲームよりずっとリアルで面白い。"
100001,200000,"エステやマッサージの高級コースが5回受けられる金額。体のメンテナンスも強さのうちだ。"
100001,200000,"ふるさと納税をフル活用すれば返礼品が山盛りもらえるレベルの勝ち。賢く使って賢く戦え。"
100001,200000,"中古の原付が買えるくらいの金額。移動手段まで手に入れられる勢い。来週も同じ集中力で攻めろ。"
200001,300000,"30代男性の平均月給（約34万円）にほぼ並んだ。週で月収を稼ぐ、これが本物の勝者の証明だ。"
200001,300000,"ハワイ旅行（エコノミー往復＋ホテル3泊）がほぼ賄える金額の大勝。でも今は行かなくていい。次の勝負に集中しろ。"
200001,300000,"TAG Heuerの入門ラインの腕時計に手が届く金額。時間を刻む道具を自分の稼ぎで手に入れる、最高だろ。"
200001,300000,"iPhoneの最新モデルが買えて、まだ5万円以上お釣りがくる。道具に投資して次の勝負に備えるのも悪くない。"
200001,300000,"高級ホテルのスイートが2泊できるレベル。たまには最高の環境に身を置くことで感性も磨かれる。"
200001,300000,"家族に豪華な食事を何度もご馳走できる金額。支えてくれる人を大切にすることも、長く戦い続ける秘訣だ。"
200001,300000,"格安航空券＋ホテルで台湾・韓国旅行が3回行ける金額の勝ち。視野を広げる経験が次の判断力を鍛える。"
200001,300000,"証券口座に入れれば立派な投資元本になる金額。勝ちを次の勝ちの種にする思考が本物の強さだ。"
200001,300000,"ロードバイクの入門モデルが余裕で買える。体を鍛えながら頭を冷やす習慣が、長期的な勝者を作る。"
200001,300000,"ビジネスクラスのアジア短距離フライトが2回乗れる金額。この勝ちをバネに次のステージへ上がれ。"
300001,400000,"40代男性の平均月給（約40万円）と同水準の週だった。週でサラリーマンの月収を稼いだ事実を噛み締めろ。"
300001,400000,"中古の軽自動車（ダイハツミラ等）が買えるレベルの大勝。自分の足で動ける自由を金で手に入れた。"
300001,400000,"グッチやルイ・ヴィトンのバッグ入門ラインが現実的な選択肢になってきた。本物の勝者は本物を持つ。"
300001,400000,"国内どこでも行ける新幹線グリーン車が往復10回以上乗れる金額。移動にも贅沢できる週になった。"
300001,400000,"50インチ以上の4K有機ELテレビが買えるレベルの利益。自分の部屋を最高の空間に変えられる勝ちだ。"
300001,400000,"高級温泉旅館（1泊2食付き）に5回は泊まれる金額。たまには最高の休息で心身を整えろ。"
300001,400000,"バイクの中型免許取得費用が全部出せてまだ余る。新しいスキルに投資するのも勝者の選択だ。"
300001,400000,"Apple Watch最新モデルを買って、さらにiPadまで手が届く金額。道具を揃えて次の勝負に挑め。"
300001,400000,"会社員が2ヶ月近く働いてやっと手にする手取りを、たった1週間で稼いだ。この差を忘れるな。"
300001,400000,"外貨預金やNISAに回せば長期で大きく育つ元本になる金額。勝ちを賢く次につなげる判断力を持て。"
400001,500000,"大卒初任給（約22万円）が2ヶ月分以上の金額を1週間で稼いだ。新社会人が2ヶ月汗を流す額を勝負で手にした現実を忘れるな。"
400001,500000,"沖縄5泊のリゾートホテル滞在がおつりを含めて余裕で行ける金額の大勝。それでも来週の軍資金を守ることが真の強さだ。"
400001,500000,"中古のコンパクトカー（トヨタヴィッツ等）の購入資金として現実的な金額になってきた。移動の自由を完全に手に入れろ。"
400001,500000,"ロレックスの入門モデル（オイスターパーペチュアル）に手が届く金額。本物のステータスを稼ぎで手に入れる時が来た。"
400001,500000,"一人暮らしの家賃が半年以上まかなえる利益。生活の基盤まで勝負で作れる、これが本物の実力だ。"
400001,500000,"ビジネスクラスでソウル・台北・バンコクへ往復できる金額。最高の移動体験で次の勝負のインスピレーションを得ろ。"
400001,500000,"個人年金保険の年間保険料を全部払っても余りある勝ち。未来への投資も視野に入れられるレベルに来た。"
400001,500000,"高級フレンチレストランのコース（3万円クラス）が16回以上行ける金額。食の体験が思考の幅を広げる。"
400001,500000,"都内の家賃10万円のマンションに5ヶ月住める金額の利益。住む場所まで勝負で作れる強さを手にしつつある。"
400001,500000,"会社員の平均ボーナス（夏冬合計約70万円）の7割を1週間で叩き出した。サラリーマンとは違う次元に足を踏み入れている。"
500001,600000,"国税庁のデータによる日本人の平均月収（約30万円）の2ヶ月分を1週間で稼いだ。このペースが続けば年収は別次元だ。"
500001,600000,"欧州格安航空券＋ホテルでパリやロンドンに1週間滞在できる金額の大勝。世界が舞台になってきた。"
500001,600000,"軽自動車の新車（スズキアルト等）がほぼフル装備で買える金額。新品の自由を手に入れられるレベルだ。"
500001,600000,"ブライトリングやオメガの入門モデルが視野に入る金額。本物の時計を持つ者は本物の時間の使い方を知っている。"
500001,600000,"一人暮らしの生活費（家賃・食費・光熱費込み）が約半年分まかなえる利益。生活を守る金を勝負で作れる男になった。"
500001,600000,"高級マッサージチェア（最上位モデル）が買える金額。疲れを取る投資をしながら次の勝負に備えろ。"
500001,600000,"国内最高峰のゴルフコース（1ラウンド5万円クラス）が12回回れる利益。勝者のフィールドで体を動かす資格が生まれた。"
500001,600000,"FXや株式投資の口座に入れれば、レバレッジをかけずとも十分戦える元本になる金額。次の戦略を考えろ。"
500001,600000,"都内の人気エリアの家賃が丸半年以上払える金額の勝ち。場所を選ぶ自由も手に入りつつある。"
500001,600000,"友人10人を高級焼肉に招待しても余りある利益。勝者は周囲も豊かにできる。それがスケールの違いだ。"
600001,700000,"日本人男性の平均年収（約550万円）の約1割以上を1週間で稼いだ。年収換算すると3600万円超のペースだ。この感覚を忘れるな。"
600001,700000,"ビジネスクラスでハワイ往復（約70万円）がそのまま買える金額の大勝。最高の空の旅を現金で買える男になった。"
600001,700000,"普通自動車免許取得から中古コンパクトカー購入まで全部まかなえる金額。完全な移動の自由を手に入れろ。"
600001,700000,"タグ・ホイヤーやブルガリの上位モデルが視野に入る金額。時計は男のステータス。稼いだ金で本物を選べ。"
600001,700000,"都内の1LDKマンション家賃（約15万円）が約4ヶ月分以上まかなえる利益。住環境を格上げできるレベルに来た。"
600001,700000,"高級ホテルのスイートルームに10泊以上できる金額。最高の環境が最高の思考を生む。たまには贅沢に使え。"
600001,700000,"個人型確定拠出年金（iDeCo）の年間上限額をほぼカバーできる金額。税制優遇を使いながら未来も設計しろ。"
600001,700000,"ゴルフクラブのフルセット（キャディバッグ含む最高級品）が一式揃う金額の勝ち。趣味も最高のもので揃えろ。"
600001,700000,"国内の名門旅館（1泊5万円クラス）に14泊できる利益。日本の最高のもてなしを何度でも経験できる。"
600001,700000,"平均的なサラリーマンが残業なしで約2ヶ月半働いてやっと稼ぐ手取りを、たった1週間で超えた。次元が違う。"
700001,800000,"大卒初任給（約22万円）の約3.5ヶ月分を1週間で叩き出した。新入社員が春から夏まで必死に働く金額を勝負で稼いだ現実がある。"
700001,800000,"国産の新車コンパクトカー（トヨタヤリス等）の頭金として十分すぎる金額。移動の自由を新品で手に入れる時が来た。"
700001,800000,"ファーストクラスでソウルや台北に行けて、現地で最高級ホテルに泊まっても余りある金額の大勝。"
700001,800000,"ロレックスのデイトジャスト（入門モデル）が現実の選択肢になってきた金額。本物を身につける資格を稼ぎで手に入れろ。"
700001,800000,"東京都内の平均的な1Kマンション家賃が約7〜8ヶ月分まかなえる利益。住む場所を自分で選べる自由が見えてきた。"
700001,800000,"最高級の国産ウイスキー（山崎18年等）が約30本買える金額。本物の味を知る者だけが本物の勝負を知っている。"
700001,800000,"海外MBA留学の準備費用（GMAT・TOEFL・出願費用）がほぼ全額まかなえる金額。学びへの投資を勝ちで賄う発想を持て。"
700001,800000,"プロのパーソナルトレーナー（月10万円クラス）を8ヶ月雇える利益。体への投資が長期の勝率を上げる。"
700001,800000,"日本人の平均年収（約430万円）の約2割近くを1週間で稼いだ。5週続けたら平均年収に達する計算だ。"
700001,800000,"高級音響システム（Bang＆Olufsen等）が買えるレベルの利益。最高の音に囲まれながら次の戦略を練れ。"
1000000,,"日本人の平均年収（約430万円）の約4分の1以上を1週間で稼いだ。年収換算で5200万円超のペース。もはや別次元の話だ。"
1000000,,"国産新車（トヨタカローラ等）がほぼ現金一括で買える金額の大勝。欲しいものを現金で買う男の余裕を手に入れた。"
1000000,,"ビジネスクラスでヨーロッパ往復（約100〜150万円）がそのまま現金で買える金額。世界の空が舞台になった。"
1000000,,"ロレックスのサブマリーナーやGMTマスターが現実の選択肢になる金額。本物を身につけるのは勝者の義務だ。"
1000000,,"都内の分譲マンション（3000万円台）の頭金として10〜30%分が1週間で手に入った。住む場所まで勝負で決められる男になった。"
1000000,,"家族全員をファーストクラスで海外旅行に連れて行ける金額。勝ちを自分だけでなく大切な人にも還元できる、これが本物のスケールだ。"
1000000,,"個人投資家として株式市場でもまともに戦える元本が1週間で作れた。ギャンブルと投資、両方の世界で勝てる男を目指せ。"
1000000,,"一流ホテルのプレジデンシャルスイート（1泊50万円クラス）に2泊できる金額。最高の非日常を自分の力で買える。"
